temperature,pressure,altitude,numberDensity
0.1650011E+003, 0.1704541E-003, 0.1945314E+03, 0.7482340E+016
0.1650011E+003, 0.1668292E-003, 0.1951028E+03, 0.7323222E+016
0.1650010E+003, 0.1632481E-003, 0.1956800E+03, 0.7166026E+016
0.1650010E+003, 0.1597109E-003, 0.1962632E+03, 0.7010758E+016
0.1650009E+003, 0.1562178E-003, 0.1968523E+03, 0.6857426E+016
0.1650009E+003, 0.1527690E-003, 0.1974474E+03, 0.6706037E+016
0.1650009E+003, 0.1493647E-003, 0.1980486E+03, 0.6556597E+016
0.1650008E+003, 0.1460048E-003, 0.1986559E+03, 0.6409112E+016
0.1650008E+003, 0.1426896E-003, 0.1992695E+03, 0.6263586E+016
0.1650008E+003, 0.1394191E-003, 0.1998893E+03, 0.6120023E+016
0.1650008E+003, 0.1361934E-003, 0.2005154E+03, 0.5978428E+016
0.1650008E+003, 0.1330127E-003, 0.2011480E+03, 0.5838804E+016
0.1650008E+003, 0.1298769E-003, 0.2017870E+03, 0.5701152E+016
0.1650008E+003, 0.1267861E-003, 0.2024325E+03, 0.5565476E+016
0.1650008E+003, 0.1237403E-003, 0.2030847E+03, 0.5431777E+016
0.1650008E+003, 0.1207396E-003, 0.2037435E+03, 0.5300055E+016
0.1650008E+003, 0.1177839E-003, 0.2044090E+03, 0.5170311E+016
0.1650009E+003, 0.1148733E-003, 0.2050813E+03, 0.5042544E+016
0.1650009E+003, 0.1120077E-003, 0.2057605E+03, 0.4916753E+016
0.1650009E+003, 0.1091871E-003, 0.2064467E+03, 0.4792937E+016
